pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
2bx3,../pdb/3c_like_proteinase/SARS-CoV/2bx3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2bx3,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.175,0.257
3f9f,../pdb/3c_like_proteinase/SARS-CoV/3f9f,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3f9f,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.208,0.246
2a5k,../pdb/3c_like_proteinase/SARS-CoV/2a5k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2a5k,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.17467,0.24889
2hob,../pdb/3c_like_proteinase/SARS-CoV/2hob,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2hob,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.202,0.221
3ea7,../pdb/3c_like_proteinase/SARS-CoV/3ea7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3ea7,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.178,0.249
2gx4,../pdb/3c_like_proteinase/SARS-CoV/2gx4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gx4,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.93,,0.2053,0.2488
2bx4,../pdb/3c_like_proteinase/SARS-CoV/2bx4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2bx4,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.79,,0.208,0.302
3f9g,../pdb/3c_like_proteinase/SARS-CoV/3f9g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3f9g,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.232,0.306
3e91,../pdb/3c_like_proteinase/SARS-CoV/3e91,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3e91,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.43,,0.179,0.256
3vb3,../pdb/3c_like_proteinase/SARS-CoV/3vb3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb3,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.1891,0.2306
3ea8,../pdb/3c_like_proteinase/SARS-CoV/3ea8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3ea8,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.696,,0.184,0.231
2amd,../pdb/3c_like_proteinase/SARS-CoV/2amd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2amd,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.85,,0.215,0.245
2h2z,../pdb/3c_like_proteinase/SARS-CoV/2h2z,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2h2z,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.201,0.214
3f9h,../pdb/3c_like_proteinase/SARS-CoV/3f9h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3f9h,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.9,,0.232,0.294
2gtb,../pdb/3c_like_proteinase/SARS-CoV/2gtb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gtb,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.19644,0.26971
3vb4,../pdb/3c_like_proteinase/SARS-CoV/3vb4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb4,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.1817,0.2354
1z1i,../pdb/3c_like_proteinase/SARS-CoV/1z1i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1z1i,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,,,0.241,0.288
1q2w,../pdb/3c_like_proteinase/SARS-CoV/1q2w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1q2w,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.86,,0.194,0.249
3sne,../pdb/3c_like_proteinase/SARS-CoV/3sne,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3sne,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.18815,0.24083
1uj1,../pdb/3c_like_proteinase/SARS-CoV/1uj1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1uj1,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.9,,0.211,0.259
2k7x,../pdb/3c_like_proteinase/SARS-CoV/2k7x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2k7x,3c_like_proteinase,SARS-CoV,SOLUTION NMR,0,,,,
2gt7,../pdb/3c_like_proteinase/SARS-CoV/2gt7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gt7,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.82,,0.16989,0.21694
2amq,../pdb/3c_like_proteinase/SARS-CoV/2amq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2amq,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.194,0.23
1z1j,../pdb/3c_like_proteinase/SARS-CoV/1z1j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1z1j,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,,,0.2139,0.2989
2gz9,../pdb/3c_like_proteinase/SARS-CoV/2gz9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gz9,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.17,,0.209,0.248
2gt8,../pdb/3c_like_proteinase/SARS-CoV/2gt8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gt8,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.17487,0.24092
5b6o,../pdb/3c_like_proteinase/SARS-CoV/5b6o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5b6o,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.2064,0.2536
3tit,../pdb/3c_like_proteinase/SARS-CoV/3tit,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tit,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.99,,0.19226,0.23493
3aw0,../pdb/3c_like_proteinase/SARS-CoV/3aw0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3aw0,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.22479,0.28636
2a5i,../pdb/3c_like_proteinase/SARS-CoV/2a5i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2a5i,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.88,,0.19813,0.24224
4wy3,../pdb/3c_like_proteinase/SARS-CoV/4wy3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4wy3,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.7,,0.27367,0.29891
2zu5,../pdb/3c_like_proteinase/SARS-CoV/2zu5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2zu5,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.183,0.208
2op9,../pdb/3c_like_proteinase/SARS-CoV/2op9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2op9,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.8,,0.17,0.207
1wof,../pdb/3c_like_proteinase/SARS-CoV/1wof,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1wof,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.201,0.239
2qc2,../pdb/3c_like_proteinase/SARS-CoV/2qc2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2qc2,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.66,,0.206,0.281
3tiu,../pdb/3c_like_proteinase/SARS-CoV/3tiu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tiu,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.08,,0.18258,0.2362
3aw1,../pdb/3c_like_proteinase/SARS-CoV/3aw1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3aw1,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.22371,0.26266
2v6n,../pdb/3c_like_proteinase/SARS-CoV/2v6n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2v6n,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.164,0.211
3f9e,../pdb/3c_like_proteinase/SARS-CoV/3f9e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3f9e,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.252,0.308
3sna,../pdb/3c_like_proteinase/SARS-CoV/3sna,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3sna,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,3.05,,0.19004,0.2563
3tns,../pdb/3c_like_proteinase/SARS-CoV/3tns,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tns,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.99,,0.19677,0.24524
1uk2,../pdb/3c_like_proteinase/SARS-CoV/1uk2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1uk2,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.226,0.253
2q6g,../pdb/3c_like_proteinase/SARS-CoV/2q6g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2q6g,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.4,,0.199,0.267
3snb,../pdb/3c_like_proteinase/SARS-CoV/3snb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3snb,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.4,,0.20855,0.25005
2z9l,../pdb/3c_like_proteinase/SARS-CoV/2z9l,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z9l,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.196,0.259
3tnt,../pdb/3c_like_proteinase/SARS-CoV/3tnt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tnt,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.59,,0.1936,0.21916
1uk3,../pdb/3c_like_proteinase/SARS-CoV/1uk3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1uk3,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.4,,0.229,0.245
2pwx,../pdb/3c_like_proteinase/SARS-CoV/2pwx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2pwx,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.244,0.296
3atw,../pdb/3c_like_proteinase/SARS-CoV/3atw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3atw,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.20091,0.24335
3snc,../pdb/3c_like_proteinase/SARS-CoV/3snc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3snc,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.58,,0.2154,0.28037
3szn,../pdb/3c_like_proteinase/SARS-CoV/3szn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3szn,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.69,,0.18493,0.20669
1uk4,../pdb/3c_like_proteinase/SARS-CoV/1uk4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/1uk4,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.213,0.231
3snd,../pdb/3c_like_proteinase/SARS-CoV/3snd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3snd,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.89,,0.1741,0.23477
2gz7,../pdb/3c_like_proteinase/SARS-CoV/2gz7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gz7,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.856,,0.204,0.233
3avz,../pdb/3c_like_proteinase/SARS-CoV/3avz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3avz,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.46,,0.22125,0.26261
2z3e,../pdb/3c_like_proteinase/SARS-CoV/2z3e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z3e,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.32,,0.18746,0.23123
5n19,../pdb/3c_like_proteinase/SARS-CoV/5n19,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5n19,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.62,,0.17248,0.20045
3sn8,../pdb/3c_like_proteinase/SARS-CoV/3sn8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3sn8,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.99,,0.21715,0.27047
2gz8,../pdb/3c_like_proteinase/SARS-CoV/2gz8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2gz8,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.97,,0.21486,0.24057
3ebn,../pdb/3c_like_proteinase/SARS-CoV/3ebn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3ebn,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.4,,0.208,0.243
3iwm,../pdb/3c_like_proteinase/SARS-CoV/3iwm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3iwm,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,3.2,,0.2204,0.2721
3eaj,../pdb/3c_like_proteinase/SARS-CoV/3eaj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3eaj,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.201,0.257
3m3t,../pdb/3c_like_proteinase/SARS-CoV/3m3t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3m3t,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.8,,0.1851,0.2732
3d62,../pdb/3c_like_proteinase/SARS-CoV/3d62,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3d62,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.259,0.363
4mds,../pdb/3c_like_proteinase/SARS-CoV/4mds,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4mds,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.598,,0.1699,0.21227
2d2d,../pdb/3c_like_proteinase/SARS-CoV/2d2d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2d2d,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.7,,0.209,0.282
2qiq,../pdb/3c_like_proteinase/SARS-CoV/2qiq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2qiq,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.9,,0.233,0.275
2zu4,../pdb/3c_like_proteinase/SARS-CoV/2zu4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2zu4,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.93,,0.235,0.264
6wxc,../pdb/endornase/SARS-CoV-2/6wxc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6wxc,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.1709,0.1937
6vww,../pdb/endornase/SARS-CoV-2/6vww,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6vww,endornase,SARS-CoV-2,X-RAY DIFFRACTION,1,2.2,,0.1577,0.1777
6xdh,../pdb/endornase/SARS-CoV-2/6xdh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6xdh,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.35,,0.1572,0.1825
6x4i,../pdb/endornase/SARS-CoV-2/6x4i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6x4i,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.85,,0.1658,0.1889
6wlc,../pdb/endornase/SARS-CoV-2/6wlc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6wlc,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.82,,0.1703,0.1949
6w01,../pdb/endornase/SARS-CoV-2/6w01,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6w01,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.1605,0.1849
6x1b,../pdb/endornase/SARS-CoV-2/6x1b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV-2/6x1b,endornase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.97,,0.1566,0.1846
2ozk,../pdb/endornase/SARS-CoV/2ozk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/endornase/SARS-CoV/2ozk,endornase,SARS-CoV,X-RAY DIFFRACTION,0,2.9,,0.24337,0.30068
5c8t,../pdb/exonuclease-nsp10/SARS-CoV/5c8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/exonuclease-nsp10/SARS-CoV/5c8t,exonuclease-nsp10,SARS-CoV,X-RAY DIFFRACTION,1,3.2,,0.2427,0.2646
5c8u,../pdb/exonuclease-nsp10/SARS-CoV/5c8u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/exonuclease-nsp10/SARS-CoV/5c8u,exonuclease-nsp10,SARS-CoV,X-RAY DIFFRACTION,0,3.4,,0.2179,0.2663
5nfy,../pdb/exonuclease-nsp10/SARS-CoV/5nfy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/exonuclease-nsp10/SARS-CoV/5nfy,exonuclease-nsp10,SARS-CoV,X-RAY DIFFRACTION,1,3.382,,0.1926,0.2349
5c8s,../pdb/exonuclease-nsp10/SARS-CoV/5c8s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/exonuclease-nsp10/SARS-CoV/5c8s,exonuclease-nsp10,SARS-CoV,X-RAY DIFFRACTION,0,3.3,,0.2171,0.2594
6jyt,../pdb/helicase/SARS-CoV/6jyt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase/SARS-CoV/6jyt,helicase,SARS-CoV,X-RAY DIFFRACTION,1,2.69,,0.2375,0.2925
6ezx,../pdb/human_interaction_partners/Cathepsin_L/6ezx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/6ezx,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.34,,0.22152,0.29685
5i4h,../pdb/human_interaction_partners/Cathepsin_L/5i4h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/5i4h,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.419,,0.1626,0.1841
2yj2,../pdb/human_interaction_partners/Cathepsin_L/2yj2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2yj2,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.12,,0.14535,0.17855
1mhw,../pdb/human_interaction_partners/Cathepsin_L/1mhw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/1mhw,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.9,,0.1846,0.2295
3iv2,../pdb/human_interaction_partners/Cathepsin_L/3iv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3iv2,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.2021,0.24376
6jd0,../pdb/human_interaction_partners/Cathepsin_L/6jd0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/6jd0,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.8,,0.1713,0.2148
3hwn,../pdb/human_interaction_partners/Cathepsin_L/3hwn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3hwn,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.33,,0.24991,0.34718
1icf,../pdb/human_interaction_partners/Cathepsin_L/1icf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/1icf,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.0,,0.182,0.213
3k24,../pdb/human_interaction_partners/Cathepsin_L/3k24,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3k24,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.5,,0.20926,0.27002
6f06,../pdb/human_interaction_partners/Cathepsin_L/6f06,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/6f06,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.02,,0.20118,0.27428
2nqd,../pdb/human_interaction_partners/Cathepsin_L/2nqd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2nqd,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.74,,0.148,0.188
6ezp,../pdb/human_interaction_partners/Cathepsin_L/6ezp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/6ezp,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.37,,0.21086,0.23336
5mqy,../pdb/human_interaction_partners/Cathepsin_L/5mqy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/5mqy,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.13,,0.14869,0.19898
3h89,../pdb/human_interaction_partners/Cathepsin_L/3h89,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3h89,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.43,,0.22,0.28
3of8,../pdb/human_interaction_partners/Cathepsin_L/3of8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3of8,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.1939,0.253
2xu3,../pdb/human_interaction_partners/Cathepsin_L/2xu3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2xu3,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,0.9,,0.14183,0.15473
3of9,../pdb/human_interaction_partners/Cathepsin_L/3of9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3of9,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.7,,0.2244,0.2494
2xu4,../pdb/human_interaction_partners/Cathepsin_L/2xu4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2xu4,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.1,,0.14036,0.16725
3kse,../pdb/human_interaction_partners/Cathepsin_L/3kse,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/3kse,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.69,,0.153,0.204
2yj8,../pdb/human_interaction_partners/Cathepsin_L/2yj8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/human_interaction_partners/Cathepsin_L/2yj8,human_interaction_partners,Cathepsin_L,X-RAY DIFFRACTION,0,1.3,,0.14055,0.18159
